word	count
어려움	82
산소	82
문양	82
복지	82
혈액	81
복장	81
인력	81
식품	81
지표	81
일기	81
수반	81
로켓	81
사거리	81
디즈니	81
필수	81
이온	81
게재	81
이웃	80
혁신	80
자국	80
페리	80
원시	80
조화	80
거듭	80
진실	79
재판소	79
구상	79
라이트	79
농장	79
트위터	78
사과	78
생물학	78
타입	78
소니	78
구원	78
주체	78
지방도	78
재외	78
판사	77
부파불교	77
동영상	77
차단	77
시신	77
날리다	77
몬트리올	77
인자	77
갤럭시	76
야당	76
증언	76
세금	76
화이트	76
파워	76
농민	75
축소	75
사무	75
바치다	74
목숨	74
신뢰	74
기재	74
처형	74
유정	74
할당	74
차장	73
문명	73
각국	73
도서	73
사퇴	73
발간	73
전제	72
도모	72
지나치다	72
기상청	72
사인	72
발전소	72
수상자	72
장애인	71
법안	71
황금	71
선원	70
전례	70
직위	69
좌파	69
추락	69
한신	69
항해	69
해전	69
고지	69
운송	68
학과	68
지름	67
불만	67
회담	66
공세	66
성종	66
자유주의	66
당사자	65
연꽃	65
소비	65
토론	65
노동당	65
분기	64
영지	64
끝내	63
폭탄	63
없애다	63
자산	63
내세우다	63
입법	61
대다	61
대승	61
경전	61
대사관	59
단체전	56
미사	56
손해	56
비상	55
확립	55
가로	53
대대	52
서독	52
토요일	50
윤리	44
풍속	37
소송법	23
공관	12
