sen1	sen2	src	score
너는 그걸 어떻게 하는데?	네가 어떻게 그걸 할 건데?	main-forum	4
나는 비슷한 상황에 처해 있었다.	나는 비슷한 상황에 처해있다.	main-forum	4
당신의 뚜껑은 무엇으로 만들어졌나요?	당신의 논문은 무엇에 쓰입니까?	main-forum	0
당신은 어떤 비자도 필요 없어요.	당신은 소스가 전혀 필요하지 않아.	main-forum	0
그것은 당신의 문제지 당신의 상사의 문제가 아니다.	문제를 해결하기 위해 상사와 팀과 협력하십시오.	main-forum	2
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	다음에 하고 싶은 일은 당신에게 달려 있다.	main-forum	4
고려해야 할 두 가지가 있다.	고려해야 할 몇 가지 사항들:	main-forum	5
그것은 전적으로 당신의 회사와 당신의 계약에 달려있다.	그것은 당신의 회사에 달려있다.	main-forum	3
나무는 아마도 썩지 않았을 것이다. 그것은 그냥 지쳐있다.	그것은 단지 지쳐있고 안전하지 않다.	main-forum	3
음, 나는 그것을 내 CV에 붙이지 않을 것이다.	나는 이 일을 이력서에 올리지 않을 것이다.	main-forum	4
이건 정말 멋진 거야.	이것은 어려운 것이다.	main-forum	1
"두 질문에 대한 답은 ""그렇다""이다."	당신의 제목에 있는 두 가지 질문에 직접 답하기 위해서.	main-forum	0
네, 당신이 제안하는 것을 하지 않는 데는 이유가 있습니다.	당신이 느끼는 것처럼 느낄 타당한 이유이지만 사임할 이유는 아닙니다.	main-forum	2
나는 그것이 프로그램에 달려있다고 생각한다.	그것은 어떻게 그 용어가 사용되느냐에 달려있다 나는 생각한다.	main-forum	2
할 수 있겠어?	그래서, 너 이거 할 수 있겠어?	main-forum	5
나는 일반적인 대답이 없다고 생각한다.	나는 이것에 대한 해답이 있다고 생각하지 않는다.	main-forum	4
네가 할 수 있는 몇 가지가 있다.	네가 시도할 수 있는 몇 가지가 있다.	main-forum	5
핵심은 당신이 당신과 당신의 목표에 도움이 되는 무언가를 찾아야 한다는 것이다.	당신은 그것을 원할지 모르지만, 당신에게 주어진 과정이 당신이 안에서 일해야 하는 것입니다.	main-forum	1
당신은 알 필요 없어.	당신은 B에서 연구할 장비 / 시설이 없습니다.	main-forum	0
나는 네가 너의 리뷰를 꽤 많이 했다고 생각한다.	당신은 당신 자신의 질문에 꽤나 많이 대답을 했습니다.	main-forum	2
네가 해야 한다고 생각되는 몇 가지가 있다.	내가 이해할 수 없는 몇 가지가 있다.	main-forum	0
탄수화물과 지방보다 단백질을 소화시키는데 당신은 칼로리를 더 많이 태운다.	땀을 많이 흘릴수록 칼로리와 지방을 더 빨리 태울 수 있다.	main-forum	2
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	그것은 당신이 말하고/함축하고 싶은 것에 달려 있다.	main-forum	1
제대로 짚었구나.	제대로 짚었구나.	main-forum	5
당신은 당신 자신의 질문에 대답했어요.	당신은 당신 자신의 질문에 꽤나 많이 대답을 했습니다.	main-forum	5
나도 같은 걸 갖고 있어.	나는 너와 같은 문제를 가지고 있었다.	main-forum	3
네, 그것엔 화학적 차이가 있습니다.	네, 그러는 데는 이유가 있습니다.	main-forum	0
그들은 약간 수준 밖일 수 있지만, 평평한 것은 중요하다.	네, 비록 그들이 약간 신맛이 날 수는 있지만요.	main-forum	0
나는 이것을 볼 것이다: 미국.	나는 이렇게 볼 것이다:	main-forum	2
당신은 올바른 길에 있다.	넌 올바른 길에 있어.	main-forum	5
만약 당신이 안 그랬다면, 당신은 그래야 한다.	넌 그래야 하지만, 넌 그럴 필요 없어.	main-forum	1
그래, 그게 흔한 일이야!	"간단한 대답은 ""예""입니다!"	main-forum	3
나는 거기에 어떤 것도 있다고 생각하지 않는다.	나는 그것에 어떤 혜택도 없다고 생각한다.	main-forum	3
나 한태는 당신이 원하는 것에 대해 설정되어 있는 것으로 보입니다.	당신이 그것을 하고 싶은지는 당신에게 달려 있다.	main-forum	2
문제는, 그 시스템이 돈이나 직함에 대해 덜 신경 쓸 수 있는 사람들을 위하지 않는다는 것이다.	그 조커는 돈에 대해 신경 쓰지 않는다.	main-forum	1
첫 번째 경우는, 나는 당신이 그것을 필요로 하지 않는다고 생각한다.	그래서 나는 네가 그것을 표지에 올릴 필요가 있다고 생각하지 않아.	main-forum	1
양식 점검 없이는 이 질문에 대답할 수 없다.	이 질문에 대한 완전한 답을 제공하는 것은 불가능하지는 않더라도 어렵다.	main-forum	2
당신은 이력서에 이것을 추가해야 합니다. 왜냐하면 그것은 당신이 가져본 유일한 직책이기 때문입니다.	이것은 당신이 정말로 XXX에 대한 전문 지식을 가지고 있다고 주장할 수 있는 기회를 제공합니다.	main-forum	2
천천히 그것을 연구해라.	당신은 그것에 대해 천천히 작업하는군요.	main-forum	4
아니, 너는 빵 기계가 필요하지 않아.	너는 걱정할 필요 없어.	main-forum	0
예, 모델 분석에 관한 논문을 발표하는 것은 가능합니다.	네, 동료 검토 저널에 게시하는 것은 어렵습니다.	main-forum	1
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	그래서 만약 그것이 당신이 필요로 하는 것이라면, 당신은 그것에 대해 분명히 해야 한다.	main-forum	1
네, 당신은 당신의 경험을 언급해야 합니다.	그래, 너는 이력서를 만들어야 해.	main-forum	2
나는 네가 시험을 치른 것이 좋다고 생각한다.	나는 그것이 훌륭한 계획이라고 생각한다.	main-forum	2
당신은 알 필요 없어.	그 외에는 당신은 세금 문제가 없다.	main-forum	0
네, 이것에 반하는 규칙이 있습니다.	그것에 반대하는 규칙은 없다.	main-forum	1
당신의 목표들은 무엇인가요?	당신의 목표들은 무엇인가요?	main-forum	5
난 여기서 불리한 입장에 처했어.	나는 여기서 매우 직접적으로 할 것이다.	main-forum	2
스위스에 대한 장기 체류 비자가 유효하다면, 통과 비자가 필요하지 않을 것이다.	당신은 통과 비자가 필요하지 않지만 취리히에 들어가려면 비자가 필요할 것이다.	main-forum	2
몇 가지 더 생각해 볼 점은	몇 가지 생각해볼 것들은	main-forum	5
이제 너는 모든 대답에 완벽할 필요는 없다.	당신은 알 필요 없어.	main-forum	2
유감스럽게도 우리는 이번 건에서는 운이 다한 것 같다.	나는 이것이 당신이 그저 운이 없는 그런 것들 중 하나라고 생각한다.	main-forum	5
요점은 당신이 원하는 것을 알고 그것을 요구하는 것을 두려워하지 말라는 것이다.	그것은 당신이 무엇을 해야 하고 다른 사람들이 무엇을 하도록 해야 하는지를 결정하는 것이 더 낫다.	main-forum	0
그것은 상황에 따라 다르다.	이것은 기관에 따라 다르다.	main-forum	4
나도 같은 걸 갖고 있어.	나도 같은 문제가 있다.	main-forum	4
나도 같은 걸 갖고 있어.	나는 정확히 같은 문제를 가지고 있다.	main-forum	4
당신은 올바른 길에 있다.	당신이 표본 정의에 대해 맞습니다.	main-forum	0
프라이머/페인트는 효과가 없을 것이다.	아니, 그것은 효과가 없을 것이다.	main-forum	2
당신이 할 수 있는 최선의 일은 당신의 것들을 아는 것이다.	당신이 할 수 있는 최선의 일은 보류된 상태에서 다른 흥미로운 일을 찾는 것이다.	main-forum	2
그것은 또한 맛의 문제이다.	그것은 대부분 맛의 문제이다.	main-forum	5
나는 비슷한 상황에 처해 있었다.	개인적으로 내가 비슷한 상황에 있을 때 나는 그 몇 개의 카드와 선물을 보냈다.	main-forum	2
너도 그것을 사용할 수 있어.	그래, 넌 할 수 있어.	main-forum	3
당신이 여기서 무엇을 얻고 싶은지 결정해야 한다.	당신은 당신에게 어떤 게 효과가 있는지 알아내야 한다.	main-forum	4
그것은 그들이 무엇인지에 달려있다.	그것은 어떻게 사용되느냐에 달려있다.	main-forum	1
나는 너와 같은 문제를 가지고 있었다.	나는 방금 같은 문제를 겪었다.	main-forum	5
만약 당신이 정말로 그것을 원한다면, 당신은 당신을 위해 그 장소를 얻기 위해 기관에 돈을 지불해야 할지도 모른다.	아마도 당신은 여행사에 가서 할 수 있을 것 같지만 비용이 들 것이다.	main-forum	2
네가 모든 걸 알 필요는 없어.	그들은 단지 당신이 그것을 알기를 원하지 않는다.	main-forum	1
또한 여러분의 이야기에서 일관성을 유지하는 것이 유용합니다.	그 이야기를 당신의 한계 범위에 두는 것이 중요하다.	main-forum	2
나는 그것이 단지 습관이라고 생각한다.	나는 그것이 나쁜 생각이라고 생각한다.	main-forum	1
그것은 좋은 생각이 아니야.	아니, 그건 좋은 일이 아니야.	main-forum	4
나는 그것이 나쁜 생각이라고 생각하고 있다.	나는 그것이 나쁜 생각이라고 생각한다.	main-forum	5
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	발을 어디서 어떻게 두고 싶은지 선택하고 해야 한다.	main-forum	1
당신에게 문제가 생겼군요.	이것은 큰 문제이다.	main-forum	4
불행히도 당신의 질문에 대한 답은 우리가 단지 모른다는 것입니다.	대화가 일에 관한 것이 아니라면, 여러분은 자신의 질문에 대한 답이 무엇인지 알고 있습니다.	main-forum	2
불행히도, 이 질문은 그것의 전체적 일반론에서 답할 수 없다.	이것은 일반적으로 대답될 수 없다.	main-forum	4
나는 개인적으로 그 멍청이를 조심할 것이다.	나는 그 바보 같은 멍청이를 보는 것을 추천할 것이다.	main-forum	2
나는 일반적인 대답이 없다고 생각한다.	나는 그것에 하나의 정의가 있다고 생각하지 않는다.	main-forum	4
그것은 좋은 생각이 아니야.	좋은 생각이 아니야.	main-forum	5
당신은 어떤 비자도 필요 없어요.	너는 걱정할 필요 없어.	main-forum	0
당신이 여기서 무엇을 얻고 싶은지 결정해야 한다.	당신이 원하는 모든 정보를 얻기 위해서는 당신은 다양한 블로그를 읽어야 할 것이다.	main-forum	0
나는 너와 같은 문제를 가지고 있었다.	나는 정확히 같은 문제를 가지고 있다.	main-forum	5
"당신의 질문에 대한 나의 대답은 ""아마도 아닐 것이다""입니다."	당신의 질문에 대한 답은 '사실 아니다'입니다.	main-forum	4
네가 해야 해.	너는 절대 그렇게 하면 안 돼.	main-forum	1
나는 너와 같은 문제를 가지고 있었다.	나도 같은 문제를 가지고 있었다.	main-forum	4
이게 당신이 찾고 있는 것이길 바라요.	이게 당신이 찾는 종류의 것인가요?	main-forum	4
고려해야 할 두 가지가 있다.	나는 고려해야 할 두 가지 중요한 것이 있다고 생각한다:	main-forum	5
그것은 너에게 꽤나 달려있다.	그건 너에게 달렸다.	main-forum	5
